id,name,cook_time_mins,prep_time_mins,kilocalories,proteins,fats,carbohydrates
1,Ленивая овсянка,5,6 часов,144,7,5,23
2,Геркулес,30,5 минут,267,10,11,32
3,Яичница с овощами,15,5 минут,271,19.4,19,19.2
4,Шакшука,15,5,400,26,23,24
5,Гранола,5,30 минут,360,13,18,40
6,Каша кукурузная с тыквой,35,7 минут,218,7,9,29
7,Куриные котлеты с булгуром,40,15,448,39,14,40
8,Запеченные баклажаны с фаршем,30,20,283,17,20,10
9,Фаршированные перцы,40,20,494,25,24,46
10,Запеченная курица с овощным рагу,50,5,720,52,23,78
11,Крем-суп из брокколи,,,223,13,12,17
12,Палтус с булгуром,30,5,289,30.3,7.7,19.2
13,Салат со свëклой и сыром фета,60,10,265.2,10,16,20
14,Фаршированный кабачок,40,10,457,34,31,12
15,Паста с курицей,30,10,435,43.5,9.5,45
16,Ризотто с курицей и грибами,40,15,297,21,2,47
17,Салат с редисом и яйцом,20,5,212,10,12,20
18,Скрембл с томатами,7,5,436,18.2,18,50.7
19,Сырники,8,15,532,30,26,48
